run_id,target_type,facility_id,drug_id,justification_text,generator
L2-2026-01,allocation,PKM-004,OBT-029,"Puskesmas Cancar receives 22 of the 30 required units of Spiramycin (73 percent coverage). The allocation was prioritized mainly due to the drug urgency category and a depleted stock position. District supply covers 64 percent of the total requirement for this drug, so full coverage is not possible this cycle. The remaining 8 units are deferred to inter facility redistribution or the next resupply.",template
L2-2026-01,allocation,PKM-004,OBT-030,"Puskesmas Cancar receives 14 of the 15 required units of Pyrimethamine (93 percent coverage). The allocation was prioritized mainly due to the drug urgency category and a depleted stock position. District supply covers 77 percent of the total requirement for this drug, so full coverage is not possible this cycle. The remaining 1 units are deferred to inter facility redistribution or the next resupply.",template
L2-2026-01,allocation,PKM-005,OBT-021,"Puskesmas Iteng receives 60 of the 72 required units of Tenofovir (83 percent coverage). The allocation was prioritized mainly due to the drug urgency category and a depleted stock position. District supply covers 79 percent of the total requirement for this drug, so full coverage is not possible this cycle. The remaining 12 units are deferred to inter facility redistribution or the next resupply.",template
L2-2026-01,allocation,PKM-016,OBT-011,"Puskesmas Bea Mese receives 0 of the 10 required units of Insulin (0 percent coverage). The allocation was prioritized mainly due to the drug urgency category and a depleted stock position. District supply covers 69 percent of the total requirement for this drug, so full coverage is not possible this cycle. The remaining 10 units are deferred to inter facility redistribution or the next resupply.",template
L2-2026-01,allocation,PKM-005,OBT-012,"Puskesmas Iteng receives 71 of the 93 required units of Metformin (76 percent coverage). The allocation was prioritized mainly due to the drug urgency category and high regional maternal mortality. District supply covers 83 percent of the total requirement for this drug, so full coverage is not possible this cycle. The remaining 22 units are deferred to inter facility redistribution or the next resupply.",template
L2-2026-01,allocation,PKM-004,OBT-009,"Puskesmas Cancar receives 19 of the 37 required units of Methyldopa (51 percent coverage). The allocation was prioritized mainly due to the drug urgency category and high regional maternal mortality. District supply covers 63 percent of the total requirement for this drug, so full coverage is not possible this cycle. The remaining 18 units are deferred to inter facility redistribution or the next resupply.",template
L2-2026-01,allocation,PKM-015,OBT-014,"Puskesmas Cibal receives 16 of the 24 required units of Cephalexin (67 percent coverage). The allocation was prioritized mainly due to the drug urgency category and a depleted stock position. District supply covers 81 percent of the total requirement for this drug, so full coverage is not possible this cycle. The remaining 8 units are deferred to inter facility redistribution or the next resupply.",template
L2-2026-01,allocation,PKM-028,OBT-007,"Puskesmas Bangka Kenda receives 0 of the 3 required units of Glucose Oral IV (0 percent coverage). The allocation was prioritized mainly due to the drug urgency category and a depleted stock position. District supply covers 80 percent of the total requirement for this drug, so full coverage is not possible this cycle. The remaining 3 units are deferred to inter facility redistribution or the next resupply.",template
L2-2026-01,allocation,PKM-009,OBT-004,"Puskesmas Lembor receives 16 of the 169 required units of High Dose Iron (9 percent coverage). The allocation was prioritized mainly due to the drug urgency category and high regional maternal mortality. District supply covers 77 percent of the total requirement for this drug, so full coverage is not possible this cycle. The remaining 153 units are deferred to inter facility redistribution or the next resupply.",template
L2-2026-01,allocation,PKM-027,OBT-007,"Puskesmas Lelak receives 0 of the 2 required units of Glucose Oral IV (0 percent coverage). The allocation was prioritized mainly due to the drug urgency category and high regional maternal mortality. District supply covers 80 percent of the total requirement for this drug, so full coverage is not possible this cycle. The remaining 2 units are deferred to inter facility redistribution or the next resupply.",template
L2-2026-01,allocation,PKM-027,OBT-011,"Puskesmas Lelak receives 0 of the 5 required units of Insulin (0 percent coverage). The allocation was prioritized mainly due to the drug urgency category and high regional maternal mortality. District supply covers 69 percent of the total requirement for this drug, so full coverage is not possible this cycle. The remaining 5 units are deferred to inter facility redistribution or the next resupply.",template
L2-2026-01,allocation,PKM-004,OBT-008,"Puskesmas Cancar receives 35 of the 51 required units of Nifedipine (69 percent coverage). The allocation was prioritized mainly due to the drug urgency category and high regional maternal mortality. District supply covers 80 percent of the total requirement for this drug, so full coverage is not possible this cycle. The remaining 16 units are deferred to inter facility redistribution or the next resupply.",template
L2-2026-01,redistribution,PKM-018,OBT-001,"23 units of Quinine move from Puskesmas Golo Welu to Puskesmas Wae Codi. The sender holds stock above its own requirement while the receiver still faces a deficit after the central allocation, and this route has the lowest cost index (106.3) among available pairs.",template
